time,ask price,ask volume,bid price,bid volume,"order type (1:submission_of_new_limit, 2:partial_cancelation, 3:total_cancelation, 4:execution_of_visible, 5:execution_of_hidden, 7:trading_halt)",order id,size,order price,"order direction (-1:sell, 1:buy)",mid price = (ask price + bid price) / 2,spread = ask price - bid price
54637.831572721,221.23,100,221.11,15,3,241697144,100,221.22,-1,221.17000000000002,0.11999999999997613
54638.356190916,221.21,200,221.11,15,1,241699944,200,221.21,-1,221.16000000000003,0.09999999999999432
54638.356294313,221.21,300,221.11,15,1,241699947,100,221.21,-1,221.16000000000003,0.09999999999999432
54638.358760027,221.21,300,221.1,15,3,241687718,15,221.11,1,221.155,0.11000000000001364
54638.365969847,221.21,100,221.1,15,3,241699944,200,221.21,-1,221.155,0.11000000000001364
54638.366045131,221.23,100,221.1,15,3,241699947,100,221.21,-1,221.165,0.12999999999999545
54638.906087217,221.21,100,221.1,15,1,241701703,100,221.21,-1,221.155,0.11000000000001364
54638.90619213,221.21,200,221.1,15,1,241701705,100,221.21,-1,221.155,0.11000000000001364
54638.916168713,221.21,100,221.1,15,3,241701703,100,221.21,-1,221.155,0.11000000000001364
54638.916239851,221.23,100,221.1,15,3,241701705,100,221.21,-1,221.165,0.12999999999999545
54639.456234843,221.21,100,221.1,15,1,241704521,100,221.21,-1,221.155,0.11000000000001364
54639.456335677,221.21,200,221.1,15,1,241704523,100,221.21,-1,221.155,0.11000000000001364
54639.466003777,221.21,100,221.1,15,3,241704521,100,221.21,-1,221.155,0.11000000000001364
54639.466079691,221.23,100,221.1,15,3,241704523,100,221.21,-1,221.165,0.12999999999999545
54640.722249532,221.2,200,221.1,15,1,241710274,200,221.2,-1,221.14999999999998,0.09999999999999432
54640.722349517,221.2,300,221.1,15,1,241710276,100,221.2,-1,221.14999999999998,0.09999999999999432
54640.723530541,221.2,300,221.09,115,3,241680979,15,221.1,1,221.14499999999998,0.10999999999998522
54640.977904277,221.2,100,221.09,115,3,241710274,200,221.2,-1,221.14499999999998,0.10999999999998522
54640.977980076,221.22,100,221.09,115,3,241710276,100,221.2,-1,221.155,0.12999999999999545
54641.945390875,221.21,100,221.09,115,1,241715230,100,221.21,-1,221.15,0.12000000000000455
54641.945498532,221.21,200,221.09,115,1,241715232,100,221.21,-1,221.15,0.12000000000000455
54641.947283052,221.21,300,221.09,115,1,241715238,100,221.21,-1,221.15,0.12000000000000455
54641.949248928,221.21,400,221.09,115,1,241715244,100,221.21,-1,221.15,0.12000000000000455
54641.949889267,221.21,500,221.09,115,1,241715247,100,221.21,-1,221.15,0.12000000000000455
54642.923833306,221.21,506,221.09,115,1,241720623,6,221.21,-1,221.15,0.12000000000000455
54642.924025295,221.21,506,221.09,15,3,241661525,100,221.09,1,221.15,0.12000000000000455
54643.425406955,221.21,406,221.09,15,3,241715238,100,221.21,-1,221.15,0.12000000000000455
54643.425408345,221.21,306,221.09,15,3,241715230,100,221.21,-1,221.15,0.12000000000000455
54643.42541001,221.21,206,221.09,15,3,241715244,100,221.21,-1,221.15,0.12000000000000455
54643.425418855,221.21,106,221.09,15,3,241715247,100,221.21,-1,221.15,0.12000000000000455
54644.289084365,221.21,106,221.15,100,1,241726864,100,221.15,1,221.18,0.060000000000002274
54646.573208106,221.21,106,221.09,15,4,241726864,100,221.15,1,221.15,0.12000000000000455
54646.573422419,221.21,106,221.15,100,1,241737782,100,221.15,1,221.18,0.060000000000002274
54646.574782167,221.2,100,221.15,100,1,241737791,100,221.2,-1,221.175,0.04999999999998295
54646.574905171,221.2,200,221.15,100,1,241737793,100,221.2,-1,221.175,0.04999999999998295
54646.575760549,221.2,100,221.15,100,3,241737791,100,221.2,-1,221.175,0.04999999999998295
54646.575835897,221.21,6,221.15,100,3,241737793,100,221.2,-1,221.18,0.060000000000002274
54646.576053773,221.22,6,221.15,100,3,241720623,6,221.21,-1,221.185,0.06999999999999318
54646.576270683,221.23,122,221.15,100,3,241726843,6,221.22,-1,221.19,0.07999999999998408
54646.576396215,221.23,106,221.15,100,3,241710277,16,221.23,-1,221.19,0.07999999999998408
54647.338447399,221.21,10,221.15,100,1,241740918,10,221.21,-1,221.18,0.060000000000002274
54647.338558675,221.21,110,221.15,100,1,241740920,100,221.21,-1,221.18,0.060000000000002274
54647.736292922,221.21,110,221.15,200,1,241742044,100,221.15,1,221.18,0.060000000000002274
54647.736468985,221.21,100,221.15,200,3,241740918,10,221.21,-1,221.18,0.060000000000002274
54647.736549475,221.23,106,221.15,200,3,241740920,100,221.21,-1,221.19,0.07999999999998408
54647.736555484,221.22,10,221.15,200,1,241742047,10,221.22,-1,221.185,0.06999999999999318
54647.736665713,221.22,110,221.15,200,1,241742050,100,221.22,-1,221.185,0.06999999999999318
54650.991323177,221.22,110,221.15,100,3,241737782,100,221.15,1,221.185,0.06999999999999318
54651.002587699,221.22,110,221.19,100,1,241755808,100,221.19,1,221.20499999999998,0.030000000000001137
54651.002664905,221.22,10,221.19,100,3,241742050,100,221.22,-1,221.20499999999998,0.030000000000001137
54651.002670161,221.23,206,221.19,100,3,241742047,10,221.22,-1,221.20999999999998,0.03999999999999204
54651.002801201,221.23,200,221.19,100,3,241714860,6,221.23,-1,221.20999999999998,0.03999999999999204
54651.406258367,221.22,100,221.19,100,1,241757794,100,221.22,-1,221.20499999999998,0.030000000000001137
54653.396671482,221.22,100,221.09,15,4,241755808,100,221.19,1,221.155,0.12999999999999545
54653.396925565,221.22,100,221.19,100,1,241768431,100,221.19,1,221.20499999999998,0.030000000000001137
54653.398883263,221.23,200,221.19,100,3,241757794,100,221.22,-1,221.20999999999998,0.03999999999999204
54653.401091087,221.22,6,221.19,100,1,241769022,6,221.22,-1,221.20499999999998,0.030000000000001137
54653.401210547,221.22,106,221.19,100,1,241769032,100,221.22,-1,221.20499999999998,0.030000000000001137
54653.402091355,221.22,100,221.19,100,3,241769022,6,221.22,-1,221.20499999999998,0.030000000000001137
54653.402160477,221.23,200,221.19,100,3,241769032,100,221.22,-1,221.20999999999998,0.03999999999999204
54653.410243597,221.23,200,221.09,15,4,241768431,100,221.19,1,221.16,0.13999999999998636
54653.410512465,221.23,200,221.19,100,1,241769897,100,221.19,1,221.20999999999998,0.03999999999999204
54653.410853452,221.23,200,221.09,15,4,241769897,100,221.19,1,221.16,0.13999999999998636
54653.411154876,221.23,200,221.19,100,1,241770065,100,221.19,1,221.20999999999998,0.03999999999999204
54653.411486354,221.23,200,221.09,15,4,241770065,100,221.19,1,221.16,0.13999999999998636
54653.411713945,221.23,200,221.19,100,1,241770224,100,221.19,1,221.20999999999998,0.03999999999999204
54653.411872004,221.23,200,221.09,15,4,241770224,100,221.19,1,221.16,0.13999999999998636
54653.412158866,221.23,200,221.19,100,1,241770446,100,221.19,1,221.20999999999998,0.03999999999999204
54653.419774876,221.23,200,221.09,15,4,241770446,100,221.19,1,221.16,0.13999999999998636
54653.420407351,221.23,200,221.09,15,5,0,100,221.19,1,221.16,0.13999999999998636
54653.424890364,221.23,200,221.19,100,1,241777985,100,221.19,1,221.20999999999998,0.03999999999999204
54653.427277808,221.23,200,221.07,100,4,241777985,100,221.19,1,221.14999999999998,0.1599999999999966
54653.431872628,221.23,200,221.19,100,1,241782662,100,221.19,1,221.20999999999998,0.03999999999999204
54653.434012841,221.23,200,221.07,100,4,241782662,100,221.19,1,221.14999999999998,0.1599999999999966
54653.434433685,221.23,200,221.19,100,1,241784486,100,221.19,1,221.20999999999998,0.03999999999999204
54653.436005026,221.23,200,221.07,100,4,241784486,100,221.19,1,221.14999999999998,0.1599999999999966
54653.436266148,221.23,200,221.07,100,5,0,100,221.19,1,221.14999999999998,0.1599999999999966
54653.436318019,221.23,200,221.19,100,1,241785683,100,221.19,1,221.20999999999998,0.03999999999999204
54653.437415088,221.23,200,221.07,100,4,241785683,100,221.19,1,221.14999999999998,0.1599999999999966
54653.437695618,221.23,200,221.19,100,1,241786406,100,221.19,1,221.20999999999998,0.03999999999999204
54653.439449853,221.23,200,221.07,100,4,241786406,100,221.19,1,221.14999999999998,0.1599999999999966
54653.439809005,221.23,200,221.19,100,1,241787336,100,221.19,1,221.20999999999998,0.03999999999999204
54653.520975808,221.23,200,221.07,116,4,241787336,100,221.19,1,221.14999999999998,0.1599999999999966
