time,ask price,ask volume,bid price,bid volume,"order type (1:submission_of_new_limit, 2:partial_cancelation, 3:total_cancelation, 4:execution_of_visible, 5:execution_of_hidden, 7:trading_halt)",order id,size,order price,"order direction (-1:sell, 1:buy)",mid price = (ask price + bid price) / 2,spread = ask price - bid price
34200.18960767,223.95,100,223.81,21,1,11885113,21,223.81,1,223.88,0.13999999999998636
34200.190226476,223.95,100,223.75,100,4,11885113,21,223.81,1,223.85,0.19999999999998863
34200.190226476,223.95,100,223.75,74,4,11534792,26,223.75,1,223.85,0.19999999999998863
34200.372779672,223.95,100,223.75,74,5,0,100,223.84,-1,223.85,0.19999999999998863
34200.375671205,223.95,100,223.75,74,5,0,100,223.84,-1,223.85,0.19999999999998863
34200.383971366,223.95,100,223.75,74,5,0,100,223.86,-1,223.85,0.19999999999998863
34200.38581571,223.95,100,223.75,74,5,0,100,223.86,-1,223.85,0.19999999999998863
34200.387205153,223.95,100,223.75,74,5,0,100,223.92,-1,223.85,0.19999999999998863
34200.388463172,223.95,100,223.75,74,5,0,100,223.93,-1,223.85,0.19999999999998863
34200.39141294,223.96,306,223.75,74,4,14585251,100,223.95,-1,223.85500000000002,0.21000000000000796
34200.39141294,223.96,286,223.75,74,4,3911376,20,223.96,-1,223.85500000000002,0.21000000000000796
34200.39141294,223.99,100,223.75,74,4,16202496,286,223.96,-1,223.87,0.2400000000000091
34200.393480733,224.0,1451,223.75,74,4,2135294,100,223.99,-1,223.875,0.25
34200.394405007,223.99,100,223.75,74,1,16207239,100,223.99,-1,223.87,0.2400000000000091
34200.398456977,223.99,100,223.75,74,5,0,100,223.97,-1,223.87,0.2400000000000091
34200.398595993,223.99,100,223.75,74,5,0,100,223.97,-1,223.87,0.2400000000000091
34200.400328982,223.99,100,223.75,74,5,0,100,223.97,-1,223.87,0.2400000000000091
34200.401529352,223.99,100,223.75,74,5,0,10,223.97,-1,223.87,0.2400000000000091
34200.401529352,223.99,10,223.75,74,4,16207239,90,223.99,-1,223.87,0.2400000000000091
34200.401923745,223.99,60,223.75,74,1,16208720,50,223.99,-1,223.87,0.2400000000000091
34200.403006021,223.99,50,223.75,74,4,16207239,10,223.99,-1,223.87,0.2400000000000091
34200.403006021,224.0,1451,223.75,74,4,16208720,50,223.99,-1,223.875,0.25
34200.403006021,224.0,1438,223.75,74,4,1365373,13,224.0,-1,223.875,0.25
34200.403006021,224.0,1411,223.75,74,4,1847685,27,224.0,-1,223.875,0.25
34200.407876509,224.0,1338,223.75,74,4,1847685,73,224.0,-1,223.875,0.25
34200.407876509,224.0,1318,223.75,74,4,2051705,20,224.0,-1,223.875,0.25
34200.407876509,224.0,1314,223.75,74,4,3578212,4,224.0,-1,223.875,0.25
34200.407876509,224.0,1311,223.75,74,4,3581197,3,224.0,-1,223.875,0.25
34200.411052662,224.0,1304,223.75,74,4,3581197,7,224.0,-1,223.875,0.25
34200.411052662,224.0,1254,223.75,74,4,3591155,50,224.0,-1,223.875,0.25
34200.411052662,224.0,1211,223.75,74,4,3689544,43,224.0,-1,223.875,0.25
34200.412063728,224.0,1154,223.75,74,4,3689544,57,224.0,-1,223.875,0.25
34200.412063728,224.0,1148,223.75,74,4,3920363,6,224.0,-1,223.875,0.25
34200.412063728,224.0,1125,223.75,74,4,3920364,23,224.0,-1,223.875,0.25
34200.412063728,224.0,1119,223.75,74,4,3920367,6,224.0,-1,223.875,0.25
34200.412063728,224.0,1065,223.75,74,4,3920371,54,224.0,-1,223.875,0.25
