time,ask price,ask volume,bid price,bid volume,"order type (1:submission_of_new_limit, 2:partial_cancelation, 3:total_cancelation, 4:execution_of_visible, 5:execution_of_hidden, 7:trading_halt)",order id,size,order price,"order direction (-1:sell, 1:buy)",mid price = (ask price + bid price) / 2,spread = ask price - bid price
55265.591040363,579.59,179,579.46,200,1,249581987,200,579.46,1,579.5250000000001,0.12999999999999545
55265.591521311,579.59,179,579.4,100,3,249581987,200,579.46,1,579.495,0.19000000000005457
55265.592174263,579.59,179,579.46,200,1,249582003,200,579.46,1,579.5250000000001,0.12999999999999545
55265.703309026,579.59,179,579.46,200,5,0,100,579.58,-1,579.5250000000001,0.12999999999999545
55265.70707231,579.59,179,579.47,100,1,249582874,100,579.47,1,579.53,0.12000000000000455
55265.708925464,579.59,179,579.47,200,1,249582891,100,579.47,1,579.53,0.12000000000000455
55265.709252555,579.59,179,579.47,100,3,249582874,100,579.47,1,579.53,0.12000000000000455
55265.709385313,579.59,179,579.4,100,3,249582891,100,579.47,1,579.495,0.19000000000005457
55265.710032426,579.59,179,579.47,100,1,249582911,100,579.47,1,579.53,0.12000000000000455
55265.710499948,579.59,179,579.44,100,3,249582911,100,579.47,1,579.5150000000001,0.14999999999997726
55265.710870042,579.59,179,579.47,100,1,249582922,100,579.47,1,579.53,0.12000000000000455
55265.711228415,579.59,179,579.47,200,1,249582928,100,579.47,1,579.53,0.12000000000000455
55265.711362965,579.59,179,579.47,100,3,249582922,100,579.47,1,579.53,0.12000000000000455
55265.711696179,579.59,179,579.44,100,3,249582928,100,579.47,1,579.5150000000001,0.14999999999997726
55265.71245901,579.59,179,579.44,200,1,249582945,100,579.44,1,579.5150000000001,0.14999999999997726
55265.712946854,579.59,179,579.45,200,1,249582952,200,579.45,1,579.52,0.13999999999998636
55265.71340922,579.59,179,579.44,200,3,249582952,200,579.45,1,579.5150000000001,0.14999999999997726
55265.713479261,579.59,179,579.46,200,1,249582960,200,579.46,1,579.5250000000001,0.12999999999999545
55265.734818539,579.59,179,579.47,200,1,249583132,200,579.47,1,579.53,0.12000000000000455
55265.750696361,579.59,79,579.47,200,4,249553727,100,579.59,-1,579.53,0.12000000000000455
55265.920546652,579.59,5,579.47,200,4,249553727,74,579.59,-1,579.53,0.12000000000000455
