time,ask price,ask volume,bid price,bid volume,"order type (1:submission_of_new_limit, 2:partial_cancelation, 3:total_cancelation, 4:execution_of_visible, 5:execution_of_hidden, 7:trading_halt)",order id,size,order price,"order direction (-1:sell, 1:buy)",mid price = (ask price + bid price) / 2,spread = ask price - bid price
55013.21706677,566.11,319,565.85,300,1,246515764,200,565.85,1,565.98,0.2599999999999909
55015.110712057,566.11,219,565.85,300,3,246346285,100,566.11,-1,565.98,0.2599999999999909
55015.118044141,566.1,100,565.85,300,1,246532925,100,566.1,-1,565.975,0.25
55016.093638418,566.1,100,565.85,400,1,246540493,100,565.85,1,565.975,0.25
55016.374302319,566.1,100,565.85,300,3,246540493,100,565.85,1,565.975,0.25
55016.577120995,566.1,100,565.97,1,1,246547147,1,565.97,1,566.0350000000001,0.12999999999999545
55016.578161724,566.1,100,565.85,300,4,246547147,1,565.97,1,565.975,0.25
55016.752838122,566.1,100,565.85,400,1,246548838,100,565.85,1,565.975,0.25
55017.186299903,566.09,100,565.85,400,1,246551707,100,566.09,-1,565.97,0.2400000000000091
55018.599102876,566.09,200,565.85,400,1,246567309,100,566.09,-1,565.97,0.2400000000000091
55018.600141934,566.09,211,565.85,400,1,246567716,11,566.09,-1,565.97,0.2400000000000091
55018.600749537,566.09,111,565.85,400,3,246567309,100,566.09,-1,565.97,0.2400000000000091
55018.600803733,566.08,100,565.85,400,1,246568058,100,566.08,-1,565.965,0.2300000000000182
55018.745854943,566.08,100,565.85,300,3,246548838,100,565.85,1,565.965,0.2300000000000182
55018.901639711,566.08,100,565.85,400,1,246584003,100,565.85,1,565.965,0.2300000000000182
55019.904947431,566.07,100,565.85,400,1,246600932,100,566.07,-1,565.96,0.22000000000002728
55021.776997941,566.07,100,565.85,500,1,246623283,100,565.85,1,565.96,0.22000000000002728
55023.008246459,565.98,91,565.85,500,1,246638184,91,565.98,-1,565.915,0.12999999999999545
55023.285973949,565.98,91,565.85,400,4,245961613,100,565.85,1,565.915,0.12999999999999545
55023.285973949,565.98,91,565.85,352,4,246515764,48,565.85,1,565.915,0.12999999999999545
55023.286085909,565.98,91,565.85,200,4,246515764,152,565.85,1,565.915,0.12999999999999545
55023.286085909,565.98,91,565.85,100,4,246584003,100,565.85,1,565.915,0.12999999999999545
55023.286085909,565.98,91,565.7,9,4,246623283,100,565.85,1,565.84,0.2799999999999727
55023.286297429,565.98,191,565.7,9,1,246643538,100,565.98,-1,565.84,0.2799999999999727
55023.286808092,565.98,191,565.65,20,3,246380808,9,565.7,1,565.815,0.3300000000000409
55023.286955396,565.98,191,565.69,100,1,246643800,100,565.69,1,565.835,0.2899999999999636
55023.28717996,565.97,100,565.69,100,1,246643941,100,565.97,-1,565.83,0.2799999999999727
55023.289608023,565.97,100,565.65,20,3,246643800,100,565.69,1,565.81,0.32000000000005
55023.290282092,565.97,100,565.68,100,1,246645697,100,565.68,1,565.825,0.2900000000000773
55023.297822904,565.97,100,565.65,20,3,246645697,100,565.68,1,565.81,0.32000000000005
55023.301895777,565.97,106,565.65,20,1,246651125,6,565.97,-1,565.81,0.32000000000005
55023.325015948,565.97,117,565.65,20,1,246654466,11,565.97,-1,565.81,0.32000000000005
55023.952888926,565.97,217,565.65,20,1,246668752,100,565.97,-1,565.81,0.32000000000005
55024.241741951,565.97,317,565.65,20,1,246672815,100,565.97,-1,565.81,0.32000000000005
55024.24192188,565.97,217,565.65,20,3,246643941,100,565.97,-1,565.81,0.32000000000005
55024.241962903,565.96,100,565.65,20,1,246672821,100,565.96,-1,565.8050000000001,0.3100000000000591
55024.243095692,565.96,111,565.65,20,1,246672833,11,565.96,-1,565.8050000000001,0.3100000000000591
55024.243251228,565.96,11,565.65,20,3,246672821,100,565.96,-1,565.8050000000001,0.3100000000000591
55024.24329774,565.95,100,565.65,20,1,246672835,100,565.95,-1,565.8,0.3000000000000682
55024.244817099,565.95,111,565.65,20,1,246672865,11,565.95,-1,565.8,0.3000000000000682
55024.244973574,565.95,11,565.65,20,3,246672835,100,565.95,-1,565.8,0.3000000000000682
55024.245016304,565.94,100,565.65,20,1,246672869,100,565.94,-1,565.7950000000001,0.2900000000000773
55024.246880217,565.94,111,565.65,20,1,246672926,11,565.94,-1,565.7950000000001,0.2900000000000773
55024.247042085,565.94,11,565.65,20,3,246672869,100,565.94,-1,565.7950000000001,0.2900000000000773
