time,ask price,ask volume,bid price,bid volume,"order type (1:submission_of_new_limit, 2:partial_cancelation, 3:total_cancelation, 4:execution_of_visible, 5:execution_of_hidden, 7:trading_halt)",order id,size,order price,"order direction (-1:sell, 1:buy)",mid price = (ask price + bid price) / 2,spread = ask price - bid price
34200.05990197,580.23,100,579.4,196,4,15818974,300,579.4,1,579.815,0.8300000000000409
34200.113246707,580.23,100,579.4,196,5,0,1,579.51,1,579.815,0.8300000000000409
34200.113246707,580.23,100,579.4,196,5,0,1,579.5,1,579.815,0.8300000000000409
34200.113246707,580.23,100,579.4,196,5,0,1,579.49,1,579.815,0.8300000000000409
34200.113246707,580.23,100,579.4,196,5,0,1,579.48,1,579.815,0.8300000000000409
34200.113246707,580.23,100,579.4,29,4,15818974,167,579.4,1,579.815,0.8300000000000409
34200.154178213,580.23,100,579.4,129,1,16155653,100,579.4,1,579.815,0.8300000000000409
34200.202322801,579.89,25,579.4,129,1,4773921,25,579.89,-1,579.645,0.4900000000000091
34200.203135277,579.89,25,579.4,100,4,15818974,29,579.4,1,579.645,0.4900000000000091
34200.203135277,579.89,25,579.12,100,4,16155653,100,579.4,1,579.505,0.7699999999999818
34200.2070117,579.4,1,579.12,100,1,16167456,1,579.4,-1,579.26,0.2799999999999727
34200.207763353,579.89,25,579.12,100,4,16167456,1,579.4,-1,579.505,0.7699999999999818
34200.207763353,579.89,25,579.4,99,1,16167632,99,579.4,1,579.645,0.4900000000000091
34200.236450238,579.89,25,579.4,88,4,16167632,11,579.4,1,579.645,0.4900000000000091
34200.249457498,579.89,25,579.4,59,4,16167632,29,579.4,1,579.645,0.4900000000000091
34200.35865663,579.89,25,579.4,59,5,0,4,579.73,-1,579.645,0.4900000000000091
34200.501687061,579.79,100,579.4,59,1,16228038,100,579.79,-1,579.595,0.38999999999998636
34200.502444619,579.79,110,579.4,59,1,16228180,10,579.79,-1,579.595,0.38999999999998636
34200.633496578,579.79,110,579.4,159,1,16252843,100,579.4,1,579.595,0.38999999999998636
34200.696339803,579.79,110,579.4,159,5,0,100,579.46,1,579.595,0.38999999999998636
34200.696339803,579.79,110,579.4,100,4,16167632,59,579.4,1,579.595,0.38999999999998636
34200.696339803,579.79,110,579.4,88,4,16252843,12,579.4,1,579.595,0.38999999999998636
34200.763732578,579.79,210,579.4,88,1,16274753,100,579.79,-1,579.595,0.38999999999998636
34201.44557354,579.79,210,579.19,75,4,16252843,88,579.4,1,579.49,0.599999999999909
34201.44557354,579.79,210,579.12,100,4,16174771,75,579.19,1,579.4549999999999,0.6699999999999591
34201.44557354,579.79,210,579.12,100,5,0,37,579.18,1,579.4549999999999,0.6699999999999591
34202.184836108,579.79,210,579.12,100,5,0,63,579.18,1,579.4549999999999,0.6699999999999591
34202.184836108,579.79,210,579.12,100,5,0,29,579.13,1,579.4549999999999,0.6699999999999591
34202.472695361,579.73,100,579.12,100,1,16477262,100,579.73,-1,579.425,0.6100000000000136
34202.472885056,579.73,200,579.12,100,1,16477281,100,579.73,-1,579.425,0.6100000000000136
34203.650345438,579.73,100,579.12,100,3,16477262,100,579.73,-1,579.425,0.6100000000000136
34203.650507021,579.79,210,579.12,100,3,16477281,100,579.73,-1,579.4549999999999,0.6699999999999591
34204.320392912,579.73,100,579.12,100,1,16654914,100,579.73,-1,579.425,0.6100000000000136
34204.320575651,579.73,200,579.12,100,1,16654928,100,579.73,-1,579.425,0.6100000000000136
34204.414461644,579.73,200,579.12,100,5,0,6,579.17,1,579.425,0.6100000000000136
34204.414627059,579.73,100,579.12,100,3,16654928,100,579.73,-1,579.425,0.6100000000000136
34204.635971,579.66,2300,579.12,100,1,16680220,2300,579.66,-1,579.39,0.5399999999999636
34204.636163856,579.66,2700,579.12,100,1,16680228,400,579.66,-1,579.39,0.5399999999999636
34205.266040346,579.66,2700,579.12,100,5,0,30,579.17,1,579.39,0.5399999999999636
34205.266040346,579.66,2700,579.12,100,5,0,15,579.13,1,579.39,0.5399999999999636
34205.266211854,579.66,2300,579.12,100,3,16680228,400,579.66,-1,579.39,0.5399999999999636
34205.621656362,579.66,2300,579.12,100,5,0,28,579.13,1,579.39,0.5399999999999636
34206.021458868,579.66,2300,579.12,100,5,0,100,579.13,1,579.39,0.5399999999999636
34206.02684287,579.66,2300,579.12,128,1,16805354,28,579.12,1,579.39,0.5399999999999636
34206.027107895,579.66,2300,579.12,206,1,16805379,78,579.12,1,579.39,0.5399999999999636
34206.027622462,579.66,2300,579.12,206,5,0,28,579.13,1,579.39,0.5399999999999636
34206.027622462,579.66,2300,579.12,134,4,16160421,72,579.12,1,579.39,0.5399999999999636
34206.028440622,579.66,2300,579.12,156,1,16805526,22,579.12,1,579.39,0.5399999999999636
34206.029089693,579.66,2300,579.12,160,1,16805605,4,579.12,1,579.39,0.5399999999999636
34206.029818156,579.66,2300,579.12,166,1,16805645,6,579.12,1,579.39,0.5399999999999636
34206.029906382,579.66,2300,579.12,138,4,16160421,28,579.12,1,579.39,0.5399999999999636
34206.029906382,579.66,2300,579.12,110,4,16805354,28,579.12,1,579.39,0.5399999999999636
34206.029906382,579.66,2300,579.12,66,4,16805379,44,579.12,1,579.39,0.5399999999999636
34206.030220796,579.66,2300,579.12,73,1,16805664,7,579.12,1,579.39,0.5399999999999636
34206.030430451,579.66,2300,579.12,83,1,16805675,10,579.12,1,579.39,0.5399999999999636
34206.030813614,579.66,2300,579.12,92,1,16805696,9,579.12,1,579.39,0.5399999999999636
34206.031174657,579.66,2300,579.12,116,1,16805716,24,579.12,1,579.39,0.5399999999999636
34206.335544635,579.66,2300,579.12,82,4,16805379,34,579.12,1,579.39,0.5399999999999636
34206.335544635,579.66,2300,579.12,60,4,16805526,22,579.12,1,579.39,0.5399999999999636
34206.335544635,579.66,2300,579.12,56,4,16805605,4,579.12,1,579.39,0.5399999999999636
34206.335544635,579.66,2300,579.12,50,4,16805645,6,579.12,1,579.39,0.5399999999999636
34206.335544635,579.66,2300,579.12,43,4,16805664,7,579.12,1,579.39,0.5399999999999636
34206.335544635,579.66,2300,579.12,33,4,16805675,10,579.12,1,579.39,0.5399999999999636
34206.335544635,579.66,2300,579.12,24,4,16805696,9,579.12,1,579.39,0.5399999999999636
34206.335544635,579.66,2300,579.0,41,4,16805716,24,579.12,1,579.3299999999999,0.6599999999999682
34206.390765275,579.52,260,579.0,41,1,16822527,260,579.52,-1,579.26,0.5199999999999818
34206.391593154,579.66,2300,579.0,41,3,16822527,260,579.52,-1,579.3299999999999,0.6599999999999682
34206.3930235,579.52,260,579.0,41,1,16822681,260,579.52,-1,579.26,0.5199999999999818
34206.393843671,579.66,2300,579.0,41,3,16822681,260,579.52,-1,579.3299999999999,0.6599999999999682
34206.394630495,579.52,260,579.0,41,1,16822749,260,579.52,-1,579.26,0.5199999999999818
34206.395347138,579.66,2300,579.0,41,3,16822749,260,579.52,-1,579.3299999999999,0.6599999999999682
34206.396762991,579.52,260,579.0,41,1,16822847,260,579.52,-1,579.26,0.5199999999999818
34206.39748654,579.66,2300,579.0,41,3,16822847,260,579.52,-1,579.3299999999999,0.6599999999999682
34206.399114575,579.52,260,579.0,41,1,16822977,260,579.52,-1,579.26,0.5199999999999818
34206.400382181,579.66,2300,579.0,41,3,16822977,260,579.52,-1,579.3299999999999,0.6599999999999682
34206.401290662,579.52,260,579.0,41,1,16823104,260,579.52,-1,579.26,0.5199999999999818
34206.402542165,579.66,2300,579.0,41,3,16823104,260,579.52,-1,579.3299999999999,0.6599999999999682
34206.403385601,579.52,260,579.0,41,1,16823214,260,579.52,-1,579.26,0.5199999999999818
34206.404791532,579.66,2300,579.0,41,3,16823214,260,579.52,-1,579.3299999999999,0.6599999999999682
34206.405614357,579.52,260,579.0,41,1,16823323,260,579.52,-1,579.26,0.5199999999999818
34206.407029767,579.66,2300,579.0,41,3,16823323,260,579.52,-1,579.3299999999999,0.6599999999999682
34206.407833095,579.52,260,579.0,41,1,16823470,260,579.52,-1,579.26,0.5199999999999818
34206.408787399,579.66,2300,579.0,41,3,16823470,260,579.52,-1,579.3299999999999,0.6599999999999682
34206.409965877,579.52,260,579.0,41,1,16823634,260,579.52,-1,579.26,0.5199999999999818
34206.410680711,579.66,2300,579.0,41,3,16823634,260,579.52,-1,579.3299999999999,0.6599999999999682
34206.411525433,579.52,260,579.0,41,1,16823779,260,579.52,-1,579.26,0.5199999999999818
34206.412552465,579.66,2300,579.0,41,3,16823779,260,579.52,-1,579.3299999999999,0.6599999999999682
34206.413597384,579.52,260,579.0,41,1,16823945,260,579.52,-1,579.26,0.5199999999999818
34206.414562858,579.66,2300,579.0,41,3,16823945,260,579.52,-1,579.3299999999999,0.6599999999999682
34207.657108304,579.52,260,579.0,41,1,16883952,260,579.52,-1,579.26,0.5199999999999818
34207.658433819,579.66,2300,579.0,41,3,16883952,260,579.52,-1,579.3299999999999,0.6599999999999682
34207.659935516,579.52,260,579.0,41,1,16884073,260,579.52,-1,579.26,0.5199999999999818
34207.661271153,579.66,2300,579.0,41,3,16884073,260,579.52,-1,579.3299999999999,0.6599999999999682
34207.662749793,579.52,260,579.0,41,1,16884221,260,579.52,-1,579.26,0.5199999999999818
34207.664086215,579.66,2300,579.0,41,3,16884221,260,579.52,-1,579.3299999999999,0.6599999999999682
34207.665049651,579.52,260,579.0,41,1,16884363,260,579.52,-1,579.26,0.5199999999999818
34207.666381883,579.66,2300,579.0,41,3,16884363,260,579.52,-1,579.3299999999999,0.6599999999999682
34207.667950288,579.52,260,579.0,41,1,16884483,260,579.52,-1,579.26,0.5199999999999818
34207.669279653,579.66,2300,579.0,41,3,16884483,260,579.52,-1,579.3299999999999,0.6599999999999682
34207.670204865,579.52,260,579.0,41,1,16884674,260,579.52,-1,579.26,0.5199999999999818
34207.671404663,579.66,2300,579.0,41,3,16884674,260,579.52,-1,579.3299999999999,0.6599999999999682
34207.673650976,579.52,260,579.0,41,1,16885333,260,579.52,-1,579.26,0.5199999999999818
34207.675070224,579.66,2300,579.0,41,3,16885333,260,579.52,-1,579.3299999999999,0.6599999999999682
